,tgroup,key,value,description,embedding
4457,properties,content,manure,The content of a storage tank is manure,"tensor([ 0.0430, -0.0083, -0.0150,  ..., -0.0104, -0.0487,  0.0504])"
4459,properties,content,oil,The content of a storage tank is oil,"tensor([ 0.0370, -0.0167, -0.0068,  ..., -0.0070, -0.0365,  0.0538])"
4461,properties,content,salt,The content of a silo is salt,"tensor([ 0.0267,  0.0128, -0.0412,  ...,  0.0222, -0.0409,  0.0467])"
4462,properties,content,sewage,The content of a storage tank is sewage,"tensor([ 0.0496, -0.0082, -0.0146,  ..., -0.0059, -0.0402,  0.0522])"
4463,properties,content,silage,Silage,"tensor([ 0.0264,  0.0199, -0.0360,  ...,  0.0102, -0.0588,  0.0279])"
4464,man made,content,slurry,A storage of liquid manure,"tensor([ 0.0525,  0.0183, -0.0288,  ..., -0.0045, -0.0424,  0.0450])"
4465,properties,content,wastewater,The content of a storage tank is wastewater,"tensor([ 0.0616, -0.0037,  0.0008,  ..., -0.0167, -0.0425,  0.0494])"
4466,,content,water,The content of a storage tank is water,"tensor([ 0.0412, -0.0193, -0.0113,  ..., -0.0045, -0.0201,  0.0650])"
4469,man made,cooling:method,air_cooling,A cooling structure that uses air to cooling liquids in industrial processes,"tensor([ 0.0424,  0.0211, -0.0080,  ..., -0.0105, -0.0691,  0.0259])"
4471,man made,cooling:method,mechanical_draft,A cooling structure that uses power-driven fan motors to force air through it,"tensor([ 0.0404,  0.0312, -0.0069,  ..., -0.0121, -0.0496,  0.0487])"
4473,properties,covered,no,to denote that an object is not covered,"tensor([ 0.0378, -0.0304, -0.0102,  ...,  0.0114, -0.0117,  0.0079])"
4474,,covered,yes,To denote that an object is covered.,"tensor([ 0.0377, -0.0040, -0.0036,  ...,  0.0061, -0.0134,  0.0133])"
4475,crafts,craft,agricultural_engines,A place where engines and tools for agricultural use are planned and constructed.,"tensor([ 0.0067,  0.0236, -0.0284,  ..., -0.0057, -0.0172,  0.0418])"
4476,crafts,craft,atelier,A place where visual artists work,"tensor([ 0.0159,  0.0339, -0.0057,  ...,  0.0054, -0.0277,  0.0223])"
4478,crafts,craft,bakery,A workplace for fresh bakery goods. May have no shop or be combined with a shop.,"tensor([ 0.0201,  0.0237, -0.0204,  ...,  0.0215, -0.0004,  0.0611])"
4479,crafts,craft,basket_maker,A person weaving baskets,"tensor([ 0.0077,  0.0362, -0.0025,  ...,  0.0107, -0.0022,  0.0585])"
4480,,craft,beekeeper,The workplace of a beekeeper (apiarist).,"tensor([ 0.0116,  0.0327, -0.0296,  ...,  0.0104,  0.0037,  0.0478])"
4481,crafts,craft,blacksmith,"A place where a blacksmith forges tools, horseshoes, etc. from iron.","tensor([ 0.0188,  0.0475, -0.0495,  ...,  0.0049, -0.0014,  0.0526])"
4482,crafts,craft,boatbuilder,A workplace where boats are planned and constructed,"tensor([-0.0080,  0.0179, -0.0081,  ..., -0.0005, -0.0110,  0.0733])"
4483,crafts,craft,bookbinder,A workplace for physically assembling a book from a number of sheets of paper.,"tensor([ 0.0179,  0.0098, -0.0280,  ...,  0.0055, -0.0110,  0.0421])"
4484,crafts,craft,brewery,A dedicated building for the making of beer.,"tensor([ 0.0352,  0.0067, -0.0002,  ...,  0.0206, -0.0128,  0.0691])"
4485,crafts,craft,builder,A workplace or office of a tradesman who performs structural alterations and additions to buildings.,"tensor([ 0.0067,  0.0293, -0.0267,  ...,  0.0089, -0.0067,  0.0715])"
4486,crafts,craft,cabinet_maker,A person who makes fine wooden furniture,"tensor([ 0.0030,  0.0225, -0.0066,  ...,  0.0238,  0.0027,  0.0808])"
4488,crafts,craft,car_painter,A place specializing in painting cars.,"tensor([-0.0155,  0.0101, -0.0104,  ...,  0.0171, -0.0200,  0.0718])"
4489,,craft,car_repair,,"tensor([-0.0243,  0.0128, -0.0089,  ...,  0.0238, -0.0185,  0.0699])"
4490,crafts,craft,carpenter,"A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.","tensor([-0.0089,  0.0469,  0.0060,  ...,  0.0208, -0.0150,  0.0632])"
4491,,craft,carpet_cleaner,A carpet cleaner is a tradesman who specializes in cleaning carpets,"tensor([ 0.0055,  0.0106, -0.0215,  ...,  0.0240,  0.0232,  0.0524])"
4492,,craft,carpet_layer,A carpet layer is a tradesmen who specializes in laying carpets,"tensor([-0.0048,  0.0084, -0.0254,  ...,  0.0250,  0.0207,  0.0652])"
4493,,craft,caterer,"A workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings","tensor([ 0.0105,  0.0587, -0.0444,  ...,  0.0151, -0.0168,  0.0452])"
4495,,craft,chimney_sweeper,A workplace or office of a person who cleans chimneys for a living.,"tensor([ 0.0350,  0.0292, -0.0437,  ...,  0.0435, -0.0180,  0.0406])"
4496,,craft,cleaning,"Workplace or office of a person who cleans buildings, industrial facilities or windows.","tensor([ 0.0172,  0.0326, -0.0288,  ...,  0.0182, -0.0026,  0.0296])"
4497,crafts,craft,clockmaker,"A workplace or office of a clockmaker that is building, repairing or engraving clocks of all sorts.","tensor([ 0.0072,  0.0218, -0.0385,  ...,  0.0111, -0.0149,  0.0362])"
4498,,craft,confectionery,"A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced.","tensor([ 0.0420,  0.0361, -0.0070,  ..., -0.0049, -0.0178,  0.0485])"
4501,,craft,distillery,"An establishment for distilling, especially for distilling alcoholic liquors.","tensor([ 0.0155,  0.0074, -0.0196,  ...,  0.0125,  0.0025,  0.0211])"
4502,crafts,craft,door_construction,A workplace of someone constructing doors,"tensor([ 0.0188,  0.0457, -0.0420,  ...,  0.0429, -0.0050,  0.0626])"
4503,,craft,dressmaker,"Dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns.","tensor([ 0.0107,  0.0209, -0.0091,  ...,  0.0049,  0.0083,  0.0457])"
4504,crafts,craft,electrician,A person or company that works with electricity or electrical systems.,"tensor([-0.0105,  0.0125,  0.0037,  ...,  0.0181,  0.0020,  0.0500])"
4505,crafts,craft,electronics_repair,"Repair shops and service centres which provides repair of computers, phones, appliance etc.","tensor([ 0.0050,  0.0086,  0.0053,  ...,  0.0332, -0.0213,  0.0368])"
4506,crafts,craft,elevator,Company specialized in installing elevators.,"tensor([ 0.0149,  0.0169, -0.0052,  ...,  0.0178, -0.0268,  0.0598])"
4507,crafts,craft,embroiderer,Needlework or textile artist,"tensor([ 0.0047,  0.0187,  0.0194,  ..., -0.0008, -0.0065,  0.0387])"
4508,crafts,craft,engraver,A workplace or office of an engraver.,"tensor([ 0.0082,  0.0483, -0.0238,  ..., -0.0038, -0.0231,  0.0482])"
4509,,craft,fence_maker,Company specialized in installing fences.,"tensor([ 0.0006,  0.0218, -0.0235,  ...,  0.0346,  0.0080,  0.0538])"
4510,,craft,floorer,A workplace or office of a floorer.,"tensor([ 0.0114,  0.0440, -0.0465,  ...,  0.0182, -0.0090,  0.0455])"
4511,,craft,gardener,A workplace or office of a garden designer or a landscape gardener.,"tensor([-0.0034,  0.0564, -0.0309,  ..., -0.0116, -0.0322,  0.0389])"
4512,crafts,craft,glassblower,A person or company that blows bottles or other objects from molten glass.,"tensor([0.0136, 0.0235, 0.0108,  ..., 0.0184, 0.0169, 0.0256])"
4513,,craft,glaziery,"A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed.","tensor([ 0.0200,  0.0128, -0.0100,  ...,  0.0244,  0.0086,  0.0467])"
4516,,craft,handicraft,A place where useful and decorative devices are made completely by hand or using only simple tools,"tensor([ 0.0037,  0.0229,  0.0099,  ...,  0.0107, -0.0106,  0.0420])"
4517,crafts,craft,hvac,"A workplace or office of an HVAC system designer (Heating, Ventilating, and Air Conditioning)","tensor([ 0.0324,  0.0350, -0.0188,  ..., -0.0062, -0.0151,  0.0136])"
4518,,craft,information_electronics,"Workplace or office of an information electronics which is a tradesman specialized repairing Television, Radio, monitors, and other electronic components, they build roof aerial, rooftop dish, networks in buildings and more.","tensor([-0.0053,  0.0346, -0.0236,  ...,  0.0059, -0.0311,  0.0555])"
4519,,craft,insulation,A workplace or office of a person who does thermal insulation in buildings.,"tensor([ 0.0284,  0.0466, -0.0458,  ...,  0.0139, -0.0171,  0.0443])"
4520,crafts,craft,interior_decorator,Workplace or office of a person who does interior decoratoring.,"tensor([ 0.0232,  0.0406, -0.0170,  ..., -0.0118, -0.0038,  0.0333])"
4522,,craft,jeweller,"A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired.","tensor([ 0.0224,  0.0328, -0.0190,  ..., -0.0130, -0.0121,  0.0503])"
4523,crafts,craft,joiner,"An artisan who builds things by joining pieces of wood, particularly furniture or ornamental work.","tensor([ 0.0148,  0.0143, -0.0014,  ...,  0.0137, -0.0081,  0.0677])"
4524,,craft,key_cutter,A place where keys can be duplicated from originals.,"tensor([ 0.0141,  0.0421, -0.0680,  ..., -0.0011, -0.0379,  0.0365])"
4525,crafts,craft,laboratory,A laboratory.,"tensor([-0.0019,  0.0414, -0.0136,  ...,  0.0297,  0.0011,  0.0471])"
4528,,craft,locksmith,A place where locks and keys are created or repaired.,"tensor([ 0.0092,  0.0642, -0.0409,  ...,  0.0079, -0.0022,  0.0356])"
4530,,craft,metal_construction,"Workplace or office of a person who work with metal. This applies to: planning, construction, trade, repair.","tensor([ 0.0130,  0.0406, -0.0441,  ...,  0.0064, -0.0048,  0.0562])"
4532,,craft,musical_instrument,A craftsman creating musical instruments,"tensor([ 0.0230,  0.0100, -0.0276,  ..., -0.0009, -0.0047,  0.0439])"
4534,,craft,optician,"A place where lenses for the correction of a person's vision are designed, fitted and dispensed.","tensor([-0.0013,  0.0352, -0.0249,  ...,  0.0011,  0.0271,  0.0356])"
4536,,craft,painter,A workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings.,"tensor([-0.0024,  0.0313, -0.0307,  ..., -0.0020, -0.0225,  0.0612])"
4539,crafts,craft,paver,The workshop or office of a paver,"tensor([ 0.0146,  0.0235, -0.0247,  ...,  0.0266, -0.0126,  0.0661])"
4540,crafts,craft,pest_control,A business that offers pest control services,"tensor([ 0.0092,  0.0245, -0.0087,  ...,  0.0347, -0.0119,  0.0512])"
4541,crafts,craft,photographer,A workplace or office of a person who takes photographs using a camera.,"tensor([-0.0014,  0.0432,  0.0086,  ..., -0.0133, -0.0156,  0.0255])"
4542,,craft,photographic_laboratory,"A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil.","tensor([-0.0042,  0.0338, -0.0119,  ...,  0.0007, -0.0187,  0.0173])"
4543,crafts,craft,photovoltaic,A workplace or office who installed or planned photovoltaic systems.,"tensor([ 0.0110,  0.0125, -0.0288,  ...,  0.0126, -0.0029,  0.0353])"
4545,,craft,plasterer,"A workplace or office of a tradesman who works with plaster, such as forming a layer of plaster on an interior wall or plaster decorative moldings on ceilings or walls.","tensor([ 0.0066,  0.0306, -0.0260,  ...,  0.0063, -0.0096,  0.0608])"
4546,crafts,craft,plumber,"A workplace or office of a skilled tradesperson who specializes in (drinking) water supply, sewage and drainage systems","tensor([ 0.0056,  0.0328, -0.0150,  ...,  0.0012, -0.0088,  0.0504])"
4547,,craft,pottery,"A place where earthenware, stoneware and porcelain and other ceramic ware is made by potters.","tensor([ 0.0255,  0.0346, -0.0250,  ...,  0.0206, -0.0160,  0.0428])"
4548,,craft,print_shop,,"tensor([-0.0135,  0.0181, -0.0132,  ...,  0.0180, -0.0106,  0.0482])"
4549,crafts,craft,printer,"A small printing business which produces published works such as newspapers, books, magazines, etc.","tensor([ 0.0078,  0.0369, -0.0060,  ...,  0.0115, -0.0179,  0.0352])"
4550,crafts,craft,printmaker,A producer of fine art prints.,"tensor([-0.0005,  0.0351, -0.0060,  ...,  0.0101, -0.0169,  0.0398])"
4551,crafts,craft,restoration,Restorer.,"tensor([ 0.0003,  0.0108, -0.0148,  ...,  0.0311, -0.0069,  0.0372])"
4553,,craft,roofer,A workplace or office of a tradesman who is specialized in roof covering and sealing.,"tensor([ 0.0111,  0.0300, -0.0212,  ...,  0.0138, -0.0030,  0.0415])"
4554,,craft,saddler,A place where saddles or accessories for cars and boats are produced or repaired.,"tensor([ 0.0148,  0.0352, -0.0383,  ...,  0.0023, -0.0236,  0.0542])"
4556,,craft,sawmill,A sawmill is a facility where logs are cut into timber,"tensor([ 0.0059,  0.0184, -0.0158,  ..., -0.0071, -0.0063,  0.0219])"
4558,,craft,sculptor,The workplace of a sculptor.,"tensor([ 0.0178,  0.0522, -0.0159,  ...,  0.0268, -0.0183,  0.0570])"
4559,,craft,sewing,,"tensor([-0.0036,  0.0005, -0.0042,  ...,  0.0228, -0.0144,  0.0184])"
4560,,craft,shoemaker,"A place where shoes, boots, sandals, clogs and moccasins are created, repaired or altered to fit personal needs.","tensor([-0.0138,  0.0332, -0.0313,  ...,  0.0094,  0.0106,  0.0661])"
4561,crafts,craft,signmaker,"A maker of signs, mainly for shops and other businesses.","tensor([ 0.0131,  0.0203, -0.0211,  ...,  0.0095, -0.0020,  0.0456])"
4563,,craft,stonemason,A place where rough pieces of rock are shaped into accurate geometrical shapes.,"tensor([ 0.0228,  0.0445, -0.0434,  ...,  0.0140,  0.0225,  0.0689])"
4565,,craft,sun_protection,"A place where sun protection is made, repaired, or delivered for assembly, especially awnings and shutters.","tensor([ 0.0192,  0.0032, -0.0099,  ...,  0.0217, -0.0132,  0.0355])"
4566,crafts,craft,tailor,"A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing.","tensor([-0.0085,  0.0282, -0.0003,  ...,  0.0155, -0.0223,  0.0126])"
4568,,craft,tiler,"A workplace or office of a person who lays tiles on floors, swimming pools and such.","tensor([ 0.0106,  0.0522, -0.0455,  ...,  0.0052,  0.0052,  0.0550])"
4572,,craft,upholsterer,"A place where furniture, especially seats are provided with padding, springs, webbing, and fabric or leather covers.","tensor([ 0.0265,  0.0041, -0.0136,  ...,  0.0126, -0.0131,  0.0374])"
4573,,craft,watchmaker,A watchmaker is an artisan who makes and repairs watches. Today due to industrial production they mostly repair watches.,"tensor([-0.0008,  0.0066, -0.0252,  ...,  0.0146, -0.0046,  0.0487])"
4576,crafts,craft,welder,One who unites pieces of metal with high temperature.,"tensor([ 0.0029, -0.0026,  0.0106,  ..., -0.0003, -0.0127,  0.0605])"
4577,crafts,craft,window_construction,A workplace of someone constructing windows,"tensor([ 0.0239,  0.0341, -0.0306,  ...,  0.0326, -0.0226,  0.0500])"
4578,,craft,winery,A place where wine is produced,"tensor([ 0.0146,  0.0187, -0.0147,  ...,  0.0052, -0.0128,  0.0403])"
4579,,crane:type,floor-mounted_crane,Slewing pillar crane,"tensor([-0.0002,  0.0104, -0.0277,  ...,  0.0104, -0.0592,  0.0545])"
4580,,crane:type,gantry_crane,"Gantry crane, overhead crane","tensor([-0.0177, -0.0056, -0.0139,  ..., -0.0027, -0.0505,  0.0786])"
4581,,crane:type,portal_crane,Level luffing crane,"tensor([-0.0185,  0.0030, -0.0355,  ...,  0.0075, -0.0508,  0.0794])"
4582,man made,crane:type,tower_crane,Tower Crane,"tensor([-0.0052,  0.0178, -0.0111,  ...,  0.0003, -0.0701,  0.0548])"
4583,,crane:type,travel_lift,Travellift,"tensor([-0.0007, -0.0061, -0.0282,  ...,  0.0038, -0.0532,  0.0637])"
4584,amenities,crematorium,pet,Pet crematoria,"tensor([ 0.0215,  0.0100, -0.0262,  ...,  0.0231, -0.0374,  0.0402])"
4590,,crop,coffee,Specifies that an agricultural feature produces coffee.,"tensor([ 0.0221, -0.0033,  0.0019,  ...,  0.0154, -0.0657,  0.0446])"
4591,,crop,corn,,"tensor([-0.0053,  0.0106, -0.0206,  ...,  0.0205, -0.0508,  0.0568])"
4594,,crop,grape,Specifies that grapes are grown here.,"tensor([ 0.0149,  0.0207, -0.0167,  ...,  0.0050, -0.0477,  0.0576])"
4595,,crop,grass,Unspecified grass crop.,"tensor([-0.0155,  0.0243, -0.0439,  ...,  0.0006, -0.0437,  0.0412])"
4596,,crop,hay,,"tensor([-0.0064,  0.0334, -0.0215,  ...,  0.0098, -0.0583,  0.0406])"
4597,,crop,hop,Hops are grown here.,"tensor([-0.0002,  0.0131, -0.0012,  ...,  0.0119, -0.0636,  0.0459])"
4601,,crop,rice,Specifies that an area of farmland is being used to grow rice.,"tensor([-0.0077,  0.0359, -0.0070,  ...,  0.0173, -0.0544,  0.0457])"
4603,agriculture,crop,soy,Specifies that an area of farmland is being used to grow soy.,"tensor([ 0.0116,  0.0131,  0.0075,  ...,  0.0509, -0.0442,  0.0558])"
4604,,crop,strawberry,Specifies that an area of farmland is being used to grow strawberries.,"tensor([ 0.0428,  0.0225, -0.0113,  ...,  0.0118, -0.0546,  0.0346])"
4607,,crop,sunflower,Sunflower field,"tensor([ 0.0208, -0.0030, -0.0062,  ...,  0.0225, -0.0448,  0.0394])"
4609,,crop,wheat,Specifies that an area of farmland is being used to grow wheat.,"tensor([ 0.0039,  0.0287, -0.0131,  ...,  0.0110, -0.0607,  0.0490])"
4610,crossings,crossing:markings,zebra,Indicates the existence of zebra styled pedestrian crossing markings,"tensor([-0.0067, -0.0050, -0.0102,  ...,  0.0076, -0.0300,  0.0740])"
4611,railways,crossing:whistle,optional,"Trains are not required to blow their horn at this specific railroad crossing, unlike at a normal crossing","tensor([ 0.0205, -0.0282, -0.0284,  ...,  0.0132, -0.0221,  0.0422])"
4612,railways,crossing:whistle,wayside,A wayside horn is present and functional at this specific railroad crossing,"tensor([ 0.0287, -0.0162, -0.0179,  ...,  0.0033, -0.0457,  0.0568])"
